time (s)	det(V)
24401.471146	-0.367444	
24401.473146	-0.368919	
24401.475145	-0.373471	
24401.479143	-0.380857	
24401.483143	-0.384093	
24401.485146	-0.391044	
24401.487146	-0.398957	
24401.491143	-0.402964	
24401.493146	-0.406646	
24401.495146	-0.405773	
24401.499144	-0.408584	
24401.503143	-0.413472	
24401.505146	-0.422260	
24401.507145	-0.417944	
24401.509145	-0.419981	
24401.511145	-0.419981	
24401.513145	-0.413313	
24401.515146	-0.417452	
24401.517146	-0.418720	
24401.521153	-0.417998	
24401.525154	-0.420933	
24401.527153	-0.419888	
24401.529154	-0.414725	
24401.531154	-0.414371	
24401.533158	-0.415751	
24401.535155	-0.412675	
24401.537155	-0.417461	
24401.541156	-0.417092	
24401.543155	-0.413578	
24401.545154	-0.410339	
24401.547155	-0.405476	
24401.549159	-0.407314	
24401.551155	-0.404719	
24401.553156	-0.405048	
24401.555156	-0.408565	
24401.557156	-0.405068	
24401.561157	-0.405493	
24401.563158	-0.397698	
24401.565157	-0.399767	
24401.567159	-0.399568	
24401.569158	-0.397511	
24401.571158	-0.404189	
24401.573156	-0.401198	
24401.575157	-0.399554	
24401.577158	-0.400944	
24401.579159	-0.395617	
24401.583158	-0.395404	
24401.585156	-0.394128	
24401.587158	-0.398957	
24401.589158	-0.397461	
24401.591157	-0.394912	
24401.593158	-0.393996	
24401.595158	-0.389605	
24401.597158	-0.387204	
24401.599160	-0.390172	
24401.603161	-0.386253	
24401.605161	-0.388066	
24401.607161	-0.380105	
24401.609162	-0.378125	
24401.611162	-0.374411	
24401.613161	-0.364194	
24401.615161	-0.364544	
24401.617162	-0.359924	
24401.619162	-0.357101	
24401.621161	-0.359935	
24401.625162	-0.354177	
24401.627163	-0.344650	
24401.629165	-0.332767	
24401.631161	-0.327882	
24401.633161	-0.324322	
24401.635161	-0.317091	
24401.637162	-0.317245	
24401.641160	-0.314078	
24401.645160	-0.299443	
24401.647162	-0.282286	
24401.649160	-0.276950	
24401.651162	-0.267417	
24401.653162	-0.262994	
24401.655162	-0.261423	
24401.657161	-0.251483	
24401.659161	-0.246388	
24401.661164	-0.240780	
24401.667169	-0.221562	
24401.669170	-0.206621	
24401.671170	-0.205545	
24401.673170	-0.196794	
24401.675169	-0.188879	
24401.679167	-0.184860	
24401.681169	-0.166580	
24401.683170	-0.161660	
24401.687170	-0.154158	
24401.689170	-0.144404	
24401.691169	-0.136409	
24401.693169	-0.131670	
24401.695169	-0.122198	
24401.699167	-0.114154	
24401.701170	-0.106011	
24401.703171	-0.099257	
24401.707169	-0.099376	
24401.709169	-0.081810	
24401.711170	-0.075607	
24401.713169	-0.060263	
24401.715169	-0.057743	
24401.719168	-0.052944	
24401.721168	-0.046050	
24401.723169	-0.036920	
24401.727172	-0.029863	
24401.729170	-0.009838	
24401.731171	-0.003595	
24401.733169	-0.001967	
24401.735171	0.009735	
24401.739167	0.009410	
24401.741169	0.022034	
24401.743170	0.027377	
24401.747169	0.037033	
24401.749171	0.050900	
24401.751171	0.058416	
24401.753167	0.063837	
24401.755170	0.063204	
24401.759167	0.073067	
24401.761169	0.084368	
24401.763169	0.097707	
24401.767169	0.100714	
24401.769168	0.117890	
24401.771171	0.117066	
24401.773170	0.124733	
24401.775168	0.133618	
24401.779168	0.138651	
24401.781170	0.154407	
24401.783169	0.159932	
24401.787169	0.167932	
24401.789169	0.176332	
24401.791170	0.185334	
24401.793170	0.189708	
24401.795170	0.198325	
24401.799167	0.207460	
24401.801169	0.217284	
24401.803169	0.222981	
24401.807168	0.222421	
24401.809169	0.239883	
24401.811169	0.245669	
24401.813170	0.259827	
24401.815170	0.262004	
24401.819168	0.268844	
24401.821169	0.273836	
24401.823170	0.282036	
24401.827173	0.290106	
24401.829169	0.308042	
24401.831169	0.314228	
24401.833170	0.318448	
24401.835169	0.325739	
24401.839168	0.328260	
24401.841169	0.340583	
24401.843169	0.343780	
24401.847170	0.352319	
24401.849169	0.367094	
24401.851170	0.372021	
24401.853169	0.376342	
24401.855169	0.374143	
24401.859167	0.382703	
24401.861169	0.387786	
24401.863169	0.398229	
24401.867168	0.399068	
24401.869169	0.408596	
24401.871170	0.406442	
24401.873169	0.410887	
24401.875170	0.415548	
24401.879168	0.417303	
24401.881170	0.427795	
24401.883170	0.427987	
24401.887168	0.431420	
24401.889170	0.432209	
24401.891169	0.435861	
24401.893170	0.435522	
24401.895170	0.440428	
24401.899167	0.443062	
24401.901169	0.441845	
24401.903169	0.442774	
24401.907169	0.437688	
24401.909170	0.443104	
24401.911170	0.443174	
24401.913170	0.449383	
24401.915170	0.447292	
24401.919168	0.447549	
24401.921169	0.440362	
24401.923170	0.441096	
24401.927174	0.442729	
24401.929175	0.448327	
24401.931173	0.447393	
24401.933174	0.444351	
24401.935173	0.445445	
24401.939171	0.441427	
24401.941173	0.440484	
24401.943173	0.438132	
24401.947175	0.440255	
24401.949174	0.440323	
24401.951173	0.440051	
24401.953174	0.439380	
24401.955174	0.431106	
24401.959171	0.433449	
24401.961173	0.429952	
24401.963174	0.435422	
24401.967173	0.431242	
24401.969173	0.430888	
24401.971174	0.422705	
24401.973173	0.421926	
24401.975173	0.421395	
24401.979171	0.418097	
24401.981173	0.417593	
24401.983173	0.414363	
24401.987173	0.412995	
24401.991173	0.404756	
24401.993174	0.401575	
24401.995174	0.400140	
24401.999172	0.399303	
24402.003172	0.390662	
24402.005175	0.379680	
24402.007175	0.380196	
24402.009174	0.376222	
24402.011173	0.372091	
24402.013174	0.374038	
24402.015172	0.367998	
24402.017173	0.361412	
24402.021173	0.357446	
24402.025173	0.344118	
24402.027173	0.338172	
24402.029175	0.338095	
24402.031176	0.333958	
24402.033174	0.327196	
24402.035176	0.322846	
24402.037176	0.314598	
24402.041173	0.308798	
24402.045175	0.301195	
24402.047176	0.299243	
24402.049176	0.292495	
24402.051176	0.288280	
24402.053174	0.283535	
24402.055175	0.273632	
24402.057174	0.270791	
24402.059180	0.266310	
24402.063175	0.262542	
24402.065175	0.258176	
24402.067176	0.255114	
24402.069175	0.252197	
24402.071175	0.242180	
24402.073176	0.239953	
24402.075176	0.237782	
24402.077175	0.233369	
24402.079177	0.231670	
24402.083175	0.229130	
24402.085176	0.220975	
24402.087176	0.216071	
24402.089175	0.211372	
24402.091175	0.210490	
24402.093176	0.206481	
24402.095175	0.205275	
24402.099173	0.204953	
24402.101177	0.194839	
24402.103175	0.192054	
24402.105176	0.182216	
24402.107179	0.183542	
24402.109178	0.181298	
24402.111177	0.177472	
24402.113178	0.180868	
24402.115178	0.176511	
24402.119175	0.171681	
24402.123176	0.159504	
24402.125177	0.158543	
24402.127181	0.154577	
24402.129184	0.155923	
24402.131181	0.153546	
24402.133182	0.149179	
24402.135182	0.147395	
24402.137181	0.140128	
24402.141181	0.135573	
24402.145180	0.132327	
24402.147181	0.134046	
24402.149181	0.128610	
24402.151184	0.125177	
24402.153183	0.123447	
24402.155182	0.113529	
24402.157184	0.113770	
24402.159184	0.110444	
24402.163183	0.107437	
24402.165184	0.106694	
24402.167185	0.105241	
24402.169184	0.103994	
24402.171184	0.095646	
24402.173183	0.094471	
24402.175184	0.093069	
24402.177183	0.088985	
24402.179184	0.090222	
24402.183187	0.087828	
24402.185187	0.082354	
24402.187188	0.078386	
24402.189187	0.074930	
24402.191187	0.075314	
24402.193188	0.071501	
24402.195189	0.070633	
24402.199186	0.072351	
24402.201187	0.063463	
24402.203187	0.061218	
24402.207187	0.052504	
24402.209188	0.053731	
24402.211187	0.050785	
24402.213188	0.054747	
24402.215186	0.051964	
24402.219187	0.047027	
24402.221187	0.036949	
24402.223188	0.036616	
24402.227188	0.035741	
24402.229188	0.036576	
24402.231193	0.035120	
24402.233194	0.030445	
24402.235194	0.030507	
24402.239193	0.024626	
24402.241193	0.021480	
24402.243192	0.017931	
24402.247192	0.016843	
24402.249194	0.017647	
24402.251193	0.016000	
24402.253192	0.013828	
24402.255193	0.005199	
24402.259192	0.007921	
24402.261193	0.001936	
24402.263194	0.006350	
24402.267193	0.003285	
24402.269194	-0.000218	
24402.271193	-0.005885	
24402.273193	-0.006946	
24402.275194	-0.005011	
24402.279193	-0.009289	
24402.281193	-0.009738	
24402.283194	-0.012119	
24402.287193	-0.013012	
24402.289194	-0.019803	
24402.291194	-0.018166	
24402.293194	-0.021711	
24402.295196	-0.021404	
24402.299191	-0.018730	
24402.301193	-0.025769	
24402.303194	-0.027817	
24402.305192	-0.037446	
24402.307193	-0.033384	
24402.309194	-0.034015	
24402.311193	-0.036895	
24402.313193	-0.032450	
24402.315194	-0.037043	
24402.319192	-0.039949	
24402.323192	-0.049154	
24402.325194	-0.050282	
24402.327194	-0.053784	
24402.329193	-0.052209	
24402.331199	-0.052773	
24402.333202	-0.057666	
24402.335202	-0.059295	
24402.337201	-0.066650	
24402.341201	-0.070757	
24402.345201	-0.073825	
24402.347201	-0.070865	
24402.349202	-0.076837	
24402.351201	-0.079911	
24402.353201	-0.082131	
24402.355201	-0.091734	
24402.359200	-0.093283	
24402.361200	-0.099561	
24402.365202	-0.095469	
24402.367201	-0.102257	
24402.369202	-0.104308	
24402.371200	-0.112444	
24402.373201	-0.115311	
24402.375201	-0.114861	
24402.379200	-0.121057	
24402.383199	-0.121595	
24402.385203	-0.127578	
24402.387201	-0.133314	
24402.389201	-0.137013	
24402.391201	-0.137372	
24402.393200	-0.140843	
24402.395201	-0.142608	
24402.397200	-0.141542	
24402.401201	-0.147335	
24402.403201	-0.151902	
24402.405201	-0.162306	
24402.407201	-0.158626	
24402.409204	-0.161415	
24402.411201	-0.164004	
24402.413201	-0.161221	
24402.415202	-0.164977	
24402.417202	-0.169562	
24402.421200	-0.172728	
24402.425201	-0.181542	
24402.427202	-0.184039	
24402.429201	-0.183579	
24402.431203	-0.186037	
24402.433208	-0.191145	
24402.435207	-0.193707	
24402.437206	-0.201347	
24402.441204	-0.205723	
24402.445206	-0.211513	
24402.447206	-0.210178	
24402.449206	-0.216632	
24402.451205	-0.220761	
24402.453205	-0.225674	
24402.455206	-0.235139	
24402.457205	-0.238233	
24402.461205	-0.241789	
24402.465206	-0.244751	
24402.467208	-0.256106	
24402.469206	-0.260001	
24402.471206	-0.269948	
24402.473206	-0.273454	
24402.477203	-0.276035	
24402.479204	-0.285733	
24402.481206	-0.290365	
24402.485206	-0.297216	
24402.487206	-0.307691	
24402.489206	-0.314560	
24402.491206	-0.318025	
24402.493205	-0.323780	
24402.497203	-0.328317	
24402.499206	-0.337178	
24402.501205	-0.341958	
24402.505205	-0.347472	
24402.507206	-0.357715	
24402.509205	-0.363165	
24402.511206	-0.367931	
24402.513206	-0.366375	
24402.517204	-0.373077	
24402.519206	-0.382265	
24402.521205	-0.390110	
24402.525205	-0.393740	
24402.527205	-0.398120	
24402.529206	-0.398685	
24402.531207	-0.400492	
24402.533212	-0.404994	
24402.537211	-0.408347	
24402.539213	-0.417712	
24402.541214	-0.418736	
24402.545213	-0.421143	
24402.547214	-0.418289	
24402.549212	-0.423319	
24402.551213	-0.425159	
24402.553214	-0.426814	
24402.557211	-0.434283	
24402.559213	-0.437334	
24402.561213	-0.439320	
24402.565212	-0.435810	
24402.567214	-0.440009	
24402.569213	-0.440994	
24402.571214	-0.447475	
24402.573214	-0.450007	
24402.577211	-0.449655	
24402.579213	-0.452602	
24402.581213	-0.453932	
24402.585212	-0.458230	
24402.587214	-0.462573	
24402.589214	-0.466876	
24402.591214	-0.467537	
24402.593214	-0.469808	
24402.597211	-0.471681	
24402.599213	-0.474167	
24402.601214	-0.475487	
24402.605213	-0.478963	
24402.607214	-0.481752	
24402.609214	-0.483895	
24402.611213	-0.486492	
24402.613214	-0.481383	
24402.617212	-0.482790	
24402.619214	-0.487764	
24402.621214	-0.492480	
24402.625213	-0.493723	
24402.627214	-0.489578	
24402.629214	-0.485691	
24402.631214	-0.484421	
24402.633219	-0.484474	
24402.637212	-0.483174	
24402.639214	-0.486039	
24402.641214	-0.482026	
24402.645213	-0.480303	
24402.647213	-0.465716	
24402.649213	-0.465860	
24402.651213	-0.461927	
24402.653213	-0.458067	
24402.655214	-0.461399	
24402.659212	-0.455311	
24402.661214	-0.446180	
24402.663213	-0.437901	
24402.665218	-0.432515	
24402.667219	-0.428817	
24402.669217	-0.423516	
24402.671218	-0.423563	
24402.673217	-0.418741	
24402.675218	-0.411654	
24402.679224	-0.407392	
24402.683226	-0.392642	
